epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,7877.66,2.4559,3.0002,2.93894,0.01652,0.77273,0.03929,0.01413,2.42148,2.97272,3.24217,0.00167132,0.00167132,0.00167132
85,7959.7,2.47764,3.00269,2.91273,0.02308,0.54545,0.04733,0.01667,2.45955,2.936,3.21811,0.00166736,0.00166736,0.00166736
86,8038.75,2.55242,3.06486,2.92754,0.05389,0.5,0.05239,0.01535,2.49128,3.00936,3.0804,0.0016634,0.0016634,0.0016634
87,8126.19,2.48972,3.02663,2.91997,0.04869,0.45455,0.05137,0.01597,2.489,3.03044,3.07052,0.00165944,0.00165944,0.00165944
88,8210.26,2.3916,3.01158,2.9341,0.02953,0.63636,0.04821,0.01606,2.50493,2.96163,3.05419,0.00165548,0.00165548,0.00165548
89,8291.31,2.42456,2.98685,2.92641,0.00416,0.90909,0.04805,0.01557,2.52366,2.9452,3.06712,0.00165152,0.00165152,0.00165152
90,8374.45,2.49058,3.0993,2.94727,0.00397,0.95455,0.01847,0.00569,2.43403,3.35418,3.05707,0.00164756,0.00164756,0.00164756
91,8462.62,2.48161,2.99475,2.89239,0.00386,0.95455,0.01364,0.00463,2.41237,3.48559,3.06961,0.0016436,0.0016436,0.0016436
92,8567.09,2.46322,2.94607,2.86679,0.0039,0.95455,0.02062,0.0058,2.42213,3.33615,3.10815,0.00163964,0.00163964,0.00163964
93,8649.76,2.53497,3.20633,2.93155,0.00377,0.90909,0.01801,0.00511,2.43385,3.57058,3.12725,0.00163568,0.00163568,0.00163568
94,8733.02,2.48512,2.99053,2.94048,0.00396,0.95455,0.02144,0.00659,2.42854,3.4068,3.15477,0.00163172,0.00163172,0.00163172
95,8817.43,2.49494,3.02002,2.88985,0.00478,0.90909,0.03159,0.01008,2.43962,3.59003,3.30945,0.00162776,0.00162776,0.00162776
96,8920.9,2.47426,3.03226,2.84296,0.00824,0.81818,0.02165,0.00627,2.4276,4.05689,3.1955,0.0016238,0.0016238,0.0016238
97,8990.63,2.42619,3.03333,2.86462,0.07048,0.5,0.10257,0.03493,2.49659,3.14162,3.09283,0.00161984,0.00161984,0.00161984
98,9070.79,2.48487,3.03174,2.8295,0.10344,0.22727,0.10257,0.0377,2.46051,2.95072,3.03197,0.00161588,0.00161588,0.00161588
